NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
85,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.019,202307,21,"311,000",103,26,-,-,2016,언주로 420,-,중개거래,서울 강남구,23.11.30
86,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202307,13,"243,000",103,12,-,-,2006,언주로 332,-,중개거래,서울 강남구,23.08.22
87,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202307,8,"187,000",110,11,-,-,2006,언주로 332,-,중개거래,서울 강남구,24.01.11
88,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,84.986,202310,5,"108,000",-,21,-,-,2002,언주로 427,-,중개거래,서울 강남구,23.12.22
89,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,84.993,202405,3,"260,000",-,13,개인,개인,2016,언주로 420,-,중개거래,서울 강남구,-
90,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,84.993,202404,17,"255,000",-,2,개인,개인,2016,언주로 420,-,중개거래,서울 강남구,-
91,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202404,16,"30,000",-,15,개인,개인,2002,언주로 427,-,중개거래,서울 송파구,24.04.23
92,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202404,2,"245,000",-,16,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
93,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202403,31,"193,000",-,22,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
94,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202402,28,"240,000",-,10,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
95,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,39.13,202402,23,"40,200",-,7,개인,개인,2002,언주로 427,-,중개거래,서울 강남구,24.03.28
96,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.019,202402,14,"269,000",-,3,개인,개인,2016,언주로 420,-,중개거래,서울 강남구,-
97,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202402,4,"31,500",-,5,개인,개인,2002,언주로 427,-,중개거래,서울 강남구,24.02.14
98,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202402,3,"233,000",103,2,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,24.04.30
99,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.505,202401,18,"80,000",-,21,개인,개인,2002,언주로 427,-,중개거래,서울 강남구,24.04.30
100,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202401,12,"31,300",-,17,개인,개인,2002,언주로 427,-,중개거래,서울 강남구,24.02.14
101,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202401,9,"235,000",102,8,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,24.05.10
102,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202312,29,"238,000",104,13,-,-,2006,언주로 332,-,중개거래,서울 강남구,24.02.14
103,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,84.993,202312,2,"250,000",103,19,-,-,2016,언주로 420,-,중개거래,서울 강남구,24.02.13
104,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,84.993,202401,13,"233,000",101,9,개인,개인,2016,언주로 420,-,중개거래,서울 강남구,24.03.18
105,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,36.96,202311,9,"46,000",-,18,-,-,2002,언주로 427,-,중개거래,서울 강남구,24.02.27
106,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202403,12,"232,500",-,2,개인,개인,2006,언주로 332,-,중개거래,"서울 강남구, 서울 서초구",-
107,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202406,12,"189,500",-,7,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
108,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202403,29,"244,000",102,12,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,24.06.17
109,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202402,2,"233,000",-,7,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
110,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202405,25,"193,000",-,17,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
111,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202406,8,"31,000",-,11,개인,개인,2002,언주로 427,-,중개거래,서울 강남구,-
112,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.019,202405,18,"305,000",-,9,개인,개인,2016,언주로 420,-,중개거래,"서울 강남구, 서울 동작구",-
113,서울특별시 강남구 역삼동,761-10,761,10,대림역삼,59.66,202406,7,"149,000",-,12,개인,개인,1997,언주로 316,-,중개거래,"서울 강남구, 서울 성동구",-
114,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202405,15,"243,000",-,11,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
115,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202404,24,"235,000",-,3,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
116,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,84.993,202404,10,"230,000",-,15,개인,법인,2016,언주로 420,-,직거래,-,-
117,서울특별시 강남구 역삼동,761-10,761,10,대림역삼,59.66,202405,1,"143,000",-,12,개인,개인,1997,언주로 316,-,중개거래,서울 강남구,-
118,서울특별시 강남구 역삼동,900,900,0,시티프라디움더강남101동,59.99,202405,20,"180,000",-,8,개인,개인,2021,언주로 557,-,중개거래,경기 성남시분당구,-
119,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202405,25,"195,000",-,19,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
120,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202405,18,"243,000",-,6,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,-
121,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.505,202402,26,"79,000",-,20,개인,개인,2002,언주로 427,-,중개거래,"서울 강남구, 서울 관악구",24.05.31
122,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202405,3,"194,500",111,15,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,24.06.03
123,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202403,30,"235,000",106,13,개인,개인,2006,언주로 332,-,중개거래,서울 강남구,24.06.03
124,서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.5958,202402,19,"290,000",101,16,개인,개인,2016,언주로 420,-,중개거래,서울 강남구,24.05.31
125,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,84.9097,202404,14,"243,000",102,15,개인,개인,2006,언주로 332,-,중개거래,"서울 강남구, 서울 서초구",24.05.29
126,서울특별시 강남구 역삼동,832-5,832,5,역삼디오슈페리움,84.92,202307,27,"110,000",1,17,-,-,2006,강남대로 324,-,중개거래,서울 강남구,23.08.29
127,서울특별시 강남구 역삼동,709-5,709,5,테헤란아이파크,84.641,202404,10,"240,000",101,8,개인,개인,2014,테헤란로52길 16,-,중개거래,서울 강남구,24.06.10
128,서울특별시 강남구 역삼동,826-29,826,29,역삼동우정에쉐르1,57.98,202403,28,"68,000",-,4,개인,개인,2004,테헤란로4길 32,-,중개거래,서울 강남구,-
129,서울특별시 강남구 역삼동,826-29,826,29,역삼동우정에쉐르1,71.78,202402,27,"77,000",-,5,개인,개인,2004,테헤란로4길 32,-,중개거래,서울 강남구,24.03.04
130,서울특별시 강남구 역삼동,707-18,707,18,역삼우정에쉐르2,43.17,202308,7,"54,500",-,2,-,-,2004,테헤란로48길 10,-,중개거래,경기 화성시 서울 강남구,23.10.31
131,서울특별시 강남구 역삼동,707-18,707,18,역삼우정에쉐르2,47.83,202404,10,"69,000",-,6,개인,개인,2004,테헤란로48길 10,-,중개거래,서울 강남구,24.05.20
132,서울특별시 강남구 역삼동,902,902,0,강남센트럴아이파크,84.99,202310,21,"291,000",103,11,-,-,2022,테헤란로44길 26,-,중개거래,서울 강남구 서울 서대문구,23.11.24
133,서울특별시 강남구 역삼동,902,902,0,강남센트럴아이파크,125.462,202310,24,"437,000",104,20,-,-,2022,테헤란로44길 26,-,중개거래,서울 강남구,24.03.25
134,서울특별시 강남구 역삼동,902,902,0,강남센트럴아이파크,84.99,202404,8,"293,000",102,7,개인,개인,2022,테헤란로44길 26,-,중개거래,"서울 강남구, 서울 광진구",24.06.14
135,서울특별시 강남구 역삼동,902,902,0,강남센트럴아이파크,84.99,202405,20,"303,500",-,18,개인,개인,2022,테헤란로44길 26,-,중개거래,서울 강남구,-
136,서울특별시 강남구 역삼동,735-15,735,15,이스턴오피스텔,14.92,202310,13,"18,300",역삼동 업무시설 및 도시형생활주택,10,-,-,2014,테헤란로14길 13,-,중개거래,서울 강남구,23.10.17
137,서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,17.23,202309,27,"21,500",-,10,-,-,2004,테헤란로10길 10,-,중개거래,서울 강남구,23.11.02
138,서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,17.23,202309,1,"22,500",-,11,-,-,2004,테헤란로10길 10,-,중개거래,서울 강남구,23.09.06
139,서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,17.23,202311,23,"21,800",-,10,-,-,2004,테헤란로10길 10,-,중개거래,서울 강남구,23.12.27
140,서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202401,22,"17,200",-,3,개인,개인,2012,역삼로25길 27,-,직거래,-,24.01.22
141,서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202312,21,"17,000",-,3,-,-,2012,역삼로25길 27,20231228,직거래,-,-
142,서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202308,25,"18,000",-,5,-,-,2012,역삼로25길 27,-,직거래,-,23.08.28
143,서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,23.626,202307,10,"19,000",-,3,-,-,2012,역삼로25길 27,-,직거래,-,23.07.14
144,서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202307,6,"16,500",-,2,-,-,2012,역삼로25길 27,-,중개거래,서울 강남구,23.08.24
145,서울특별시 강남구 역삼동,727-9,727,9,요진와이시티미니,12.1,202403,27,"17,000",-,3,개인,개인,2012,역삼로25길 21,-,중개거래,서울 강남구,-
146,서울특별시 강남구 역삼동,727-2,727,2,대명벨리온,17.684,202401,16,"17,400",-,5,개인,개인,2012,역삼로25길 27,-,중개거래,서울 강남구,24.02.05
147,서울특별시 강남구 역삼동,747,747,0,노블스위트,84.85,202401,6,"65,000",-,5,개인,개인,2003,역삼로19길 14,-,직거래,-,24.01.19
148,서울특별시 강남구 역삼동,747,747,0,노블스위트,78.94,202403,5,"61,000",-,4,개인,개인,2003,역삼로19길 14,-,직거래,-,24.04.03
149,서울특별시 강남구 역삼동,706-11,706,11,우림루미아트1,24,202311,28,"21,000",-,10,-,-,2003,언주로90길 6,-,중개거래,서울 강남구,24.01.16
150,서울특별시 강남구 역삼동,710,710,0,현대까르띠에710,171.944,202309,27,"370,000",101,8,-,-,2001,언주로86길 12,-,중개거래,서울 강남구,24.01.31
151,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,41.68,202311,17,"37,000",-,18,-,-,2001,언주로86길 11,-,중개거래,서울 강남구,23.12.22
152,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,51.08,202308,29,"48,500",-,6,-,-,2001,언주로86길 11,-,중개거래,서울 강남구,23.11.30
153,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,43.58,202308,16,"43,700",-,12,-,-,2001,언주로86길 11,-,중개거래,서울 강남구,23.09.25
154,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,39.2,202403,15,"30,000",-,26,개인,개인,2001,언주로86길 11,-,중개거래,서울 강남구,24.03.26
155,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,39.2,202403,9,"23,000",-,22,개인,개인,2001,언주로86길 11,-,직거래,-,24.03.27
156,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,39.2,202402,7,"30,000",-,17,개인,개인,2001,언주로86길 11,-,중개거래,서울 서초구,24.02.29
157,서울특별시 강남구 역삼동,706-24,706,24,진넥스빌2,23.85,202401,13,"21,700",-,11,개인,개인,2003,언주로86길 7,-,중개거래,서울 강남구,24.02.19
158,서울특별시 강남구 역삼동,710,710,0,현대까르띠에710,149.7,202401,12,"322,000",103,21,개인,개인,2001,언주로86길 12,-,중개거래,서울 강남구,24.04.30
159,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,41.68,202311,25,"42,500",-,13,-,-,2001,언주로86길 11,-,중개거래,서울 강남구,24.04.01
160,서울특별시 강남구 역삼동,706-24,706,24,진넥스빌2,29.44,202311,21,"26,000",-,9,-,-,2003,언주로86길 7,-,중개거래,서울 강남구,24.02.19
